2024-05-24 12:29:08|7|56|UPDATE|
2024-05-24 20:23:19|7|6|UPDATE|
2024-05-24 20:23:27|2|45|UPDATE|
2024-05-24 20:23:32|7|43|UPDATE|
2024-05-24 20:23:38|123|80|UPDATE|
2024-05-24 20:23:44|13|27|UPDATE|
2024-05-24 20:23:50|13|93|UPDATE|
2024-05-24 20:23:58|7|13|UPDATE|
2024-05-24 20:24:04|123|18|UPDATE|
2024-05-24 20:24:11|123|31|UPDATE|
2024-05-24 20:24:17|13|26|UPDATE|
2024-05-24 20:24:25|1|42|UPDATE|
2024-05-24 20:24:33|13|71|UPDATE|
2024-05-24 20:24:39|7|18|UPDATE|
2024-05-24 20:24:47|14|96|UPDATE|
2024-05-24 20:24:52|123|45|UPDATE|
2024-05-24 20:25:00|7|21|UPDATE|
2024-05-24 20:25:09|14|26|UPDATE|
2024-05-24 20:25:17|2|45|UPDATE|
2024-05-24 20:25:24|2|52|UPDATE|
2024-05-24 20:25:50|7|70|UPDATE|
2024-05-24 20:25:52|7|27|UPDATE|
2024-05-24 20:25:56|123|28|UPDATE|
2024-05-24 20:26:02|14|99|UPDATE|
2024-05-24 20:26:10|2|96|UPDATE|
2024-05-24 20:26:18|13|32|UPDATE|
2024-05-24 20:27:36|2|17|UPDATE|
2024-05-24 20:28:48|1|60|UPDATE|
2024-05-24 20:28:48|1|60|UPDATE|
2024-05-24 20:28:48|13|82|UPDATE|
2024-05-24 20:28:56|123|43|UPDATE|
2024-05-24 20:29:25|14|72|UPDATE|
2024-05-24 20:29:57|7|98|UPDATE|
2024-05-24 20:30:05|2|27|UPDATE|
2024-05-24 20:30:21|2|33|UPDATE|
2024-05-24 20:31:57|1|47|UPDATE|
2024-05-24 20:31:57|1|47|UPDATE|
2024-05-24 20:32:01|2|22|UPDATE|
2024-05-24 20:32:08|1|83|UPDATE|
2024-05-24 20:32:14|1|64|UPDATE|
2024-05-24 20:32:19|1|61|UPDATE|
2024-05-24 20:32:26|123|17|UPDATE|
2024-05-24 20:32:34|123|4|UPDATE|
2024-05-24 20:34:00|2|16|UPDATE|
2024-05-24 20:34:07|123|6|UPDATE|
2024-05-24 20:34:13|14|81|UPDATE|
2024-05-24 20:34:19|7|98|UPDATE|
2024-05-24 20:34:28|13|67|UPDATE|
2024-05-24 20:34:46|7|15|UPDATE|
2024-05-24 20:34:57|13|0|UPDATE|
2024-05-24 20:35:21|123|58|UPDATE|
2024-05-24 20:35:27|14|80|UPDATE|
2024-05-24 20:35:33|13|82|UPDATE|
2024-05-24 20:35:39|14|91|UPDATE|
2024-05-24 20:35:45|2|87|UPDATE|
2024-05-24 20:35:51|14|77|UPDATE|
2024-05-24 20:35:57|123|58|UPDATE|
